"","X.1","X","prod_name","pantry","refrigerator","freezer","splitlen","status","new_prod","raw_prod","pantry_times","pantry_num","pantry_min","pantry_max","pantry_mult","pantry_mindays","pantry_maxdays","refrigerator_times","refrigerator_num","refrigerator_min","refrigerator_max","refrigerator_mult","refrigerator_mindays","refrigerator_maxdays","freezer_times","freezer_num","freezer_min","freezer_max","freezer_mult","freezer_mindays","freezer_maxdays","new_status","new_status_2"
"26",26,"http://www.stilltasty.com/searchitems/index/261.href"," BANANAS — FRESH, RAW, WHOLE","2-5 days or until ripe","5-7 days once ripe","2-3 months",2,"FRESH, RAW, WHOLE"," BANANAS"," BANANAS","days","2-5",2,5,1,2,5,"days","5-7",5,7,1,5,7,"months","2-3",2,3,30,60,90,"FRESH, RAW, WHOLE",NA
"27",27,"http://www.stilltasty.com/searchitems/index/261.href"," BANANAS, DRIED — UNOPENED OR OPENED PACKAGE","6-12 months","6-12 months","12-18 months",2,"UNOPENED OR OPENED PACKAGE"," BANANAS, DRIED"," BANANAS","months","6-12",6,12,30,180,360,"months","6-12",6,12,30,180,360,"months","12-18",12,18,30,360,540,"UNOPENED OR OPENED PACKAGE",NA
"28",28,"http://www.stilltasty.com/searchitems/index/261.href"," BLACKBERRIES — COMMERCIALLY FROZEN",NA,NA,"1 year",2,"COMMERCIALLY FROZEN"," BLACKBERRIES"," BLACKBERRIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365,"COMMERCIALLY FROZEN","FROZEN"
"29",29,"http://www.stilltasty.com/searchitems/index/261.href"," BLACKBERRIES — FRESH, RAW",NA,"2-3 days","10-12 months",2,"FRESH, RAW"," BLACKBERRIES"," BLACKBERRIES",NA,NA,NA,NA,NA,NA,NA,"days","2-3",2,3,1,2,3,"months","10-12",10,12,30,300,360,"FRESH, RAW","FRESH, RAW"
"30",30,"http://www.stilltasty.com/searchitems/index/261.href"," BLACKBERRIES, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"5-7 days","1-2 months",2,"OPENED"," BLACKBERRIES, COMMERCIALLY CANNED OR BOTTLED"," BLACKBERRIES",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"31",31,"http://www.stilltasty.com/searchitems/index/261.href"," BLACKBERRIES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","12-18 months",NA,NA,2,"UNOPENED"," BLACKBERRIES, COMMERCIALLY CANNED OR BOTTLED"," BLACKBERRIES","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"32",32,"http://www.stilltasty.com/searchitems/index/261.href"," BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",NA,"5-7 days","8-12 months",2,"OPENED"," BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," BLACKBERRY JUICE",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","8-12",8,12,30,240,360,"OPENED","OPENED"
"33",33,"http://www.stilltasty.com/searchitems/index/261.href"," BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED","12-18 months",NA,"8-12 months",2,"UNOPENED"," BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," BLACKBERRY JUICE","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,"months","8-12",8,12,30,240,360,"UNOPENED","UNOPENED"
"34",34,"http://www.stilltasty.com/searchitems/index/261.href"," BLUEBERRIES — COMMERCIALLY FROZEN",NA,NA,"1 year",2,"COMMERCIALLY FROZEN"," BLUEBERRIES"," BLUEBERRIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365,"COMMERCIALLY FROZEN","FROZEN"
"35",35,"http://www.stilltasty.com/searchitems/index/261.href"," BLUEBERRIES — FRESH, RAW",NA,"1-2 weeks","10-12 months",2,"FRESH, RAW"," BLUEBERRIES"," BLUEBERRIES",NA,NA,NA,NA,NA,NA,NA,"weeks","1-2",1,2,7,7,14,"months","10-12",10,12,30,300,360,"FRESH, RAW","FRESH, RAW"
"36",36,"http://www.stilltasty.com/searchitems/index/261.href"," BLUEBERRIES, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"5-7 days","1-2 months",2,"OPENED"," BLUEBERRIES, COMMERCIALLY CANNED OR BOTTLED"," BLUEBERRIES",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"37",37,"http://www.stilltasty.com/searchitems/index/261.href"," BLUEBERRIES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","12-18 months",NA,NA,2,"UNOPENED"," BLUEBERRIES, COMMERCIALLY CANNED OR BOTTLED"," BLUEBERRIES","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"38",38,"http://www.stilltasty.com/searchitems/index/261.href"," BLUEBERRIES, DRIED — UNOPENED OR OPENED PACKAGE","6-12 months","6-12 months","12-18 months",2,"UNOPENED OR OPENED PACKAGE"," BLUEBERRIES, DRIED"," BLUEBERRIES","months","6-12",6,12,30,180,360,"months","6-12",6,12,30,180,360,"months","12-18",12,18,30,360,540,"UNOPENED OR OPENED PACKAGE",NA
"39",39,"http://www.stilltasty.com/searchitems/index/261.href"," BOYSENBERRIES — COMMERCIALLY FROZEN",NA,NA,"1 year",2,"COMMERCIALLY FROZEN"," BOYSENBERRIES"," BOYSENBERRIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365,"COMMERCIALLY FROZEN","FROZEN"
"40",40,"http://www.stilltasty.com/searchitems/index/261.href"," BOYSENBERRIES — FRESH, RAW",NA,"2-3 days","10-12 months",2,"FRESH, RAW"," BOYSENBERRIES"," BOYSENBERRIES",NA,NA,NA,NA,NA,NA,NA,"days","2-3",2,3,1,2,3,"months","10-12",10,12,30,300,360,"FRESH, RAW","FRESH, RAW"
